season,award,player_name,team_position,result,rank,votes,source_url
2016,MVP,Matt Ryan,Atlanta Falcons QB,vote_finisher,1,25,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Tom Brady,New England Patriots QB,vote_finisher,2,10,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Derek Carr,Oakland Raiders QB,vote_finisher,3,6,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Ezekiel Elliott,Dallas Cowboys RB,vote_finisher,4,6,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Aaron Rodgers,Green Bay Packers QB,vote_finisher,5,2,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Dak Prescott,Dallas Cowboys QB,vote_finisher,6,1,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Matt Ryan,Atlanta Falcons QB,vote_finisher,1,15.5,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Aaron Rodgers,Green Bay Packers QB,vote_finisher,2,11,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,David Johnson,Arizona Cardinals RB,vote_finisher,3,8,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Tom Brady,New England Patriots QB,vote_finisher,4,7,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Ezekiel Elliott,Dallas Cowboys RB,vote_finisher,5,5.5,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Le'Veon Bell,Pittsburgh Steelers RB,vote_finisher,6,1,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Drew Brees,New Orleans Saints QB,vote_finisher,7,1,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Derek Carr,Oakland Raiders QB,vote_finisher,8,1,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DPOY,Khalil Mack,Oakland Raiders RDE,vote_finisher,1,18,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DPOY,Von Miller,Denver Broncos LOLB,vote_finisher,2,17,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DPOY,Landon Collins,New York Giants SS,vote_finisher,3,9,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DPOY,Aaron Donald,Los Angeles Rams LDT,vote_finisher,4,3,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DPOY,Sean Lee,Dallas Cowboys RLB,vote_finisher,5,2,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DPOY,Eric Berry,Kansas City Chiefs SS,vote_finisher,6,1,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OROY,Dak Prescott,Dallas Cowboys QB,vote_finisher,1,28.5,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OROY,Ezekiel Elliott,Dallas Cowboys RB,vote_finisher,2,21.5,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DROY,Joey Bosa,San Diego Chargers LDE,vote_finisher,1,37,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DROY,Jalen Ramsey,Jacksonville Jaguars RCB,vote_finisher,2,10,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DROY,Deion Jones,Atlanta Falcons RILB,vote_finisher,3,3,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,CPOY,Jordy Nelson,Green Bay Packers WR,vote_finisher,1,36,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,CPOY,Cameron Wake,Miami Dolphins LDE,vote_finisher,2,11,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,CPOY,Dennis Pitta,Baltimore Ravens TE,vote_finisher,3,2,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,CPOY,Le'Veon Bell,Pittsburgh Steelers RB,vote_finisher,4,1,https://www.pro-football-reference.com/awards/awards_2016.htm
2017,MVP,Tom Brady,New England Patriots QB,vote_finisher,1,40,https://www.pro-football-reference.com/awards/awards_2017.htm
2017,MVP,Todd Gurley,Los Angeles Rams RB,vote_finisher,2,8,https://www.pro-football-reference.com/awards/awards_2017.htm
