season,award,player_name,team_position,result,rank,votes,source_url
2016,MVP,Matt Ryan,Atlanta Falcons QB,vote_finisher,1.0,25.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Tom Brady,New England Patriots QB,vote_finisher,2.0,10.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Derek Carr,Oakland Raiders QB,vote_finisher,3.0,6.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Ezekiel Elliott,Dallas Cowboys RB,vote_finisher,4.0,6.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Aaron Rodgers,Green Bay Packers QB,vote_finisher,5.0,2.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,MVP,Dak Prescott,Dallas Cowboys QB,vote_finisher,6.0,1.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Matt Ryan,Atlanta Falcons QB,vote_finisher,1.0,15.5,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Aaron Rodgers,Green Bay Packers QB,vote_finisher,2.0,11.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,David Johnson,Arizona Cardinals RB,vote_finisher,3.0,8.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Tom Brady,New England Patriots QB,vote_finisher,4.0,7.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Ezekiel Elliott,Dallas Cowboys RB,vote_finisher,5.0,5.5,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Le'Veon Bell,Pittsburgh Steelers RB,vote_finisher,6.0,1.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Drew Brees,New Orleans Saints QB,vote_finisher,7.0,1.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,OPOY,Derek Carr,Oakland Raiders QB,vote_finisher,8.0,1.0,https://www.pro-football-reference.com/awards/awards_2016.htm
2016,DPOY,Khalil Mack,Oakland Raiders RDE,vote_finisher,1.0,18.0,https://www.pro-football-reference.com/awards/awards_2016.htm
