team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,starter_seasons_with_any_team,avg_starter_years_any_team,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,top5_mvp_finish_count,retention_score,starter_score,snap_share_score,starter_longevity_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_bust_adjusted_raw_score,premium_bust_adjusted_draft_capital,premium_pick_score,premium_pick_dei,late_round_picks,late_round_draft_capital,late_round_raw_score,late_round_score,late_round_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
TB,2020,2025,43,146.5,27,23,23,57,1.3255813953488371,3,0,2,0,0.12443921955202261,0.37628844037094283,0.21142183298801812,0.10593867068746925,0.03469271607261864,19,3,0.15789473684210525,110.0,84.6131837135519,79.81913448137178,118.0,0.6764333430624727,124.24541888624468,24,36.5,40.319215158260064,1.1046360317331525,121.88676149305607,-3.294049232180127,1,8.0,-1.5,124.93239887181197,0.8527808796710714,117.08319681198935,120.13834963963184,154.5,0.777594496049397,121.82540189062601,1
GB,2020,2025,61,184.5,35,29,30,70,1.1475409836065573,0,0,0,0,0.12649444482471411,0.35890078386373825,0.19727333938736624,0.09788894363223011,0.0,22,3,0.13636363636363635,132.0,78.84210302966156,77.0196411768246,132.0,0.5834821301274591,107.17239534957272,39,52.5,65.17075788047343,1.2413477691518748,136.97168580601067,-1.822461852836958,0,0.0,0.0,144.012860910135,0.7805575117080488,107.16723480202856,142.19039905729804,184.5,0.7706796696872522,120.74205895950696,2
CIN,2020,2025,47,159.0,31,21,22,53,1.127659574468085,2,0,5,2,0.12769595658331648,0.3139552956454964,0.1992912830906741,0.0893533108347742,0.03533930953659735,19,2,0.10526315789473684,112.0,85.11288910203497,83.69867553966188,112.0,0.7473096030326953,137.2637756828247,28,47.0,36.62310065281153,0.7792149075066283,85.97943472301793,-1.414213562373095,0,0.0,0.0,121.7359897548465,0.7656351556908585,105.11845862973308,120.32177619247341,159.0,0.756740730770273,118.55825127553128,3
NYG,2020,2025,47,164.0,27,24,24,53,1.127659574468085,1,0,3,0,0.11256274423379056,0.34056454981725454,0.1971358132832731,0.08570214796309444,0.023974705198647174,20,0,0.0,122.0,81.51365256897998,80.51365256897998,128.0,0.6290129106951561,115.5353640912374,27,42.0,43.116500952373826,1.0265833560089006,113.274342925675,0.0,1,6.0,-1.0,124.6301535213538,0.7599399604960598,104.33653249164645,123.6301535213538,170.0,0.7272361971844341,113.93578843667143,4
LAC,2020,2025,48,151.0,26,23,23,53,1.1041666666666667,0,0,2,0,0.1237878192067403,0.37399807739786095,0.21107290824502287,0.08587470802965197,0.005665310503071662,17,2,0.11764705882352941,104.0,69.8795350255029,67.56005580862056,120.0,0.563000465071838,103.41037935727653,31,47.0,50.98068730523161,1.084695474579396,119.68649836201807,-1.2071067811865475,3,16.0,-1.1123724356957947,120.86022233073452,0.8003988233823478,109.89136271712206,118.54074311385217,167.0,0.709824809064983,111.20795360000217,5
KC,2020,2025,43,157.5,31,24,24,60,1.3953488372093024,3,0,1,0,0.12798344588447838,0.337148411301176,0.20368616239391923,0.10640410988308856,0.029399969323807656,19,1,0.05263157894736842,116.0,78.31835293990204,74.09015088830041,132.0,0.5612890218810638,103.09602617182435,24,41.5,48.40962761896695,1.1664970510594446,128.71257478516,-2.3094010767585034,3,16.0,-1.9188009748431265,126.72798055886899,0.8046220987864698,110.47120051264439,122.49977850726737,173.5,0.7060505965836735,110.61664932162553,6
DET,2020,2025,45,172.0,28,21,22,59,1.3111111111111111,7,0,5,0,0.10968290703818143,0.2631693622380656,0.18648423750614354,0.09388790996389905,0.07322648417702034,23,3,0.13043478260869565,138.0,93.4147576040076,90.13873672206871,142.0,0.6347798360709065,116.59461710758325,22,34.0,31.53479735480169,0.9274940398471085,102.34071818543117,-2.9224674913456203,1,4.0,-0.35355339059327373,124.9495549588093,0.7264509009233099,99.73862669136972,121.6735340768704,176.0,0.6913268981640364,108.30989369719437,7
DAL,2020,2025,52,169.0,23,19,20,50,0.9615384615384616,6,0,7,0,0.0991290124938601,0.26667822122740004,0.18711225939025544,0.07483239223686082,0.06579129213163581,21,1,0.047619047619047616,120.0,81.38028988219523,80.26225589344534,120.0,0.6688521324453779,122.8529229390146,31,49.0,35.82850711192683,0.7311940226923843,80.68075718046498,-1.118033988749895,0,0.0,0.0,117.20879699412207,0.6935431774800123,95.22053587531828,116.09076300537217,169.0,0.6869275917477643,107.62065621554387,8
PHI,2020,2025,50,160.5,31,21,22,49,0.98,2,0,4,1,0.13359644821728514,0.3004783329446819,0.18149824257996858,0.07506795897325036,0.0439296018667273,18,1,0.05555555555555555,110.0,85.34475515476419,83.69005461638493,120.0,0.6974171218032077,128.09966174135792,32,50.5,32.553823670632895,0.6446301716957009,71.12920611997775,-0.5773502691896258,2,10.0,-1.0773502691896257,117.89857882539708,0.7345705845819133,100.85342480951942,116.24387828701782,170.5,0.6817822773432131,106.81454197685945,9
NE,2020,2025,59,178.0,24,23,25,56,0.9491525423728814,1,0,4,1,0.1023539070867158,0.3272073312176798,0.1819094182335546,0.06886401820831596,0.027745940601475724,21,1,0.047619047619047616,118.0,73.0329332459965,71.36097477910495,126.0,0.5663569426913091,104.02688794912898,38,60.0,53.00541628590155,0.8834236047650259,97.47793763560874,-0.4472135954999579,1,8.0,-1.2247448713915892,126.03834953189806,0.7080806153477419,97.21646441872791,124.36639106500651,186.0,0.6686365111021856,104.75500032165247,10
