draft_year,draft_team,round,pick,player_name,position,gsis_id,pfr_player_id,reason
2017,DEN,3,82,Carlos Henderson,WR,00-0033919,HendCa01,no_roster_snapshot_match_and_no_snap_count_match
2017,NE,3,85,Antonio Garcia,T,00-0033922,GarcAn00,no_roster_snapshot_match_and_no_snap_count_match
2017,ARI,4,115,Dorian Johnson,G,00-0033942,JohnDo03,no_roster_snapshot_match_and_no_snap_count_match
2017,SF,4,121,Joe Williams,RB,00-0033286,WillJo12,no_roster_snapshot_match_and_no_snap_count_match
2017,BAL,4,122,Nico Siragusa,G,00-0033287,SiraNi00,no_roster_snapshot_match_and_no_snap_count_match
2017,CLE,4,126,Howard Wilson,CB,00-0033558,WilsHo00,no_roster_snapshot_match_and_no_snap_count_match
2017,PHI,4,132,Donnel Pumphrey,RB,00-0033561,PumpDo00,no_roster_snapshot_match_and_no_snap_count_match
2017,GB,5,175,DeAngelo Yancey,WR,00-0033291,YancDe00,no_roster_snapshot_match_and_no_snap_count_match
2017,CIN,5,176,JJ Dielman,C,00-0033959,DielJJ00,no_roster_snapshot_match_and_no_snap_count_match
2017,MIN,6,201,Bucky Hodges,TE,00-0033966,HodgBu00,no_roster_snapshot_match_and_no_snap_count_match
2017,LA,6,206,Sam Rogers,FB,00-0033967,RogeSa00,no_roster_snapshot_match_and_no_snap_count_match
2017,SEA,6,210,Justin Senior,T,00-0033583,SeniJu00,no_roster_snapshot_match_and_no_snap_count_match
2017,GB,6,212,Kofi Amichia,C,00-0033301,AmicKo00,no_roster_snapshot_match_and_no_snap_count_match
2017,DET,6,215,Brad Kaaya,QB,00-0033585,KaayBr00,no_roster_snapshot_match_and_no_snap_count_match
2017,DAL,6,216,Marquez White,CB,00-0033586,WhitMa03,no_roster_snapshot_match_and_no_snap_count_match
2017,TB,7,223,Stevie Tu'ikolovatu,NT,00-0033971,TuikSt00,no_roster_snapshot_match_and_no_snap_count_match
2017,TEN,7,236,Brad Seaton,T,00-0033795,SeatBr00,no_roster_snapshot_match_and_no_snap_count_match
2017,TEN,7,241,Khalfani Muhammad,RB,00-0033797,MuhaKh00,no_roster_snapshot_match_and_no_snap_count_match
2017,MIN,7,245,Jack Tocho,CB,00-0033977,TochJa00,no_roster_snapshot_match_and_no_snap_count_match
2017,DAL,7,246,Jordan Carrell,DT,,CarrJo01,no_roster_snapshot_match_and_no_snap_count_match
2017,PIT,7,248,Keion Adams,OLB,00-0033521,AdamKe02,no_roster_snapshot_match_and_no_snap_count_match
2018,GB,5,138,Cole Madison,G,00-0034269,MadiCo01,no_roster_snapshot_match_and_no_snap_count_match
